"","text","creation_time","isRetweet","retweet_count","favoite_count","user"
"1"," ShahRukhxKajol ShahRukh x Kajol
When the whole world stood up and clapped for my SRKajol<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64>I couldnt be prouder<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38>This is something I wil…",2016-10-23 23:04:27,TRUE,8,0,"nengnuraisah"
"2","ANGRY Salman ns BIGGEST FIGHTS with shahrukh khan  party Uncut Videos httpstcoUtTzjWTlJ",2016-10-23 22:45:07,FALSE,0,0,"kiranbeinghuman"
"3"," BohatHandsome Teacher ten chemical ke name batao

Me Oxygen carbon florin sumreen

nosheen rameen and yasmeen <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E62> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E30>
Shahrukh",2016-10-23 22:44:11,TRUE,44,0,"orish_munir"
"4","ShivaayFanClub YouTube She didnt recognise Shahrukh Khan with his initials SRK but she is well aware of shahrukh… httpstcoJnbxBVF",2016-10-23 22:41:10,FALSE,0,0,"RajSpeaKING"
"5","Peririce with grilled chicken tikka and Nandos sauce <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E35>

Used red… httpstcoPjIsQAnExj",2016-10-23 22:38:00,FALSE,0,0,"shahrukh_masota"
"6"," ShahRukhxKajol ShahRukh x Kajol
When the whole world stood up and clapped for my SRKajol<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64>I couldnt be prouder<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38>This is something I wil…",2016-10-23 22:27:10,TRUE,8,0,"gulovesrkajol"
"7","DineshDSouza meetik haha Dinesh is the American Shahrukh Khan <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E64>",2016-10-23 22:26:42,FALSE,0,0,"monishd"
"8","ShahrukhSM 
Please dont piss me of<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E31>",2016-10-23 22:21:47,FALSE,0,0,"ShawtyyKhanyy"
"9"," SRKandKAJOLorg Delhi on a starry night  Dilwale team at Unplugged Courtyard Kajol Shahrukh httpstcoSIpMlaKG",2016-10-23 21:53:53,TRUE,19,0,"Rhianna2207"
"10"," SRKandKAJOLorg PRINT MEDIA Fave costar My husband and Shahrukh Khan Kajols excerpts from VogueBFFs in todays Telegraph http…",2016-10-23 21:25:58,TRUE,56,0,"IncredibleKajol"
"11"," breakfreeofbox iamsrk Ur sweet support of aliaa in DearZindagiTake makes us sing Love you Shahrukhji Enjoy my doll tribute ht…",2016-10-23 21:09:26,TRUE,7,0,"amitpsit"
"12","I liked a YouTube video httpstconFuiXOLa Shahrukh Khan and Kapil Sharma non stop comedy in award show best comedy mind",2016-10-23 20:56:19,FALSE,0,0,"HaiderPervaiz12"
